COG Customer Item Number,TEC Item Number,Item Descripton,Supplier Code,Subcategory,Price
360214,2B1000PW,CONNECTOR 2-BOLT CU/AL 750 - 1000 MCM RUN 2 - 1000 MCM TAP W/ SPACER & FREE BOLT,THO05,3CONNMECH  ,79.72
360217,VAUL2012BN,LUG COMPRESSON 2/0 AL/CU 2/0 6/1 ACSR 3/0 COMPACT,ARK05,3CONNCOMP  ,0
360219,2892-B4,DEADEND 3-5/8 X 7-1/2 X 10FT 4 WIRE,HUG08,3XARMWOOD  ,611.64
360220,DEH48DP,"DEADEND NARROW PROFILE 48"" 9500LB RATED",ARK05,3XARMWOOD  ,0
360222,J647Z,PIN XARM GALV 5/8 X 7 X 1-3/8 NYLON,MAC10,3PINHDWE   ,12.33
360223,881P,PIN XARM GALV 5/8 X 5 X 1 NYLON 5-3/4IN SHANK,ELE05,3PINHDWE   ,5.7
360225,WCY83,CONNECTOR WEJTAP 556.5 TO 795 ACSR,FCI02,3CONNSHOOT ,32.68
360226,CPG27-300A-125-CX,CUTOUT 27KV 300A SOLID BLADE 125 BIL W/ PG CONN & EXT BRKT,ALU01,3CUTOUTPRC ,109.87
360226,T710-233T,BLADE SOLID 300A 27KV 125BIL FOR STANDARD CUTOUT,ELE05,3CUTOUTTUB ,76.72
360232,WPBYN-BOX25,SHELL WEJ TAP CARTRIDGE YELLOW,FCI02,3CONNSHOOT ,1.65
360233,9420,BOLT OVALEYE FORGED GALV 5/8 X 20,POW06,3BOLTWSHR  ,4.44
360236,GP100,PLATE GROUND CU POLE BUTT,THO05,3GRPLATES  ,6.46
360239,S1540AGP,CLAMP HOTLINE AL TIN PLATED 4-266 RUN 6-266 TAP,WES30,3HOTLINE   ,27.1
360240,PG-5718,GUARD GUY HDPE YELLOW 8FT W/ PIG TAIL,PRE12,3GUYGUARD  ,3.77
360242,AHLS-954022-E,STIRRUP BOLTED 336.4 - 954 ACSR W/ 2/0 BAIL 2 BOLT,ARK05,3CONNMECH  ,50.65
360243,AHLS-024021E,STIRRUP BOLTED #4 - 4/0 ACSR W/ 1/0 BAIL 2 BOLT,ARK05,3CONNMECH  ,25.3
360248,FI-3CS04NAM,FAULT INDICATOR PADMOUNT,SMA02,3FAULTIND  ,160.07
360249,56-1,INSULATOR PIN J-NECK 56-1 1-3/8 IN,VIC04,3INSULPORC ,12.54
360250,FI-3CS04NCM-3PH,FAULT INDICATOR URD 4HR RESET 3PH,SMA02,3FAULTIND  ,0
360251,53-2,INSULATOR SPOOL 3IN ANSI 53-2 GRAY,NEW13,3INSULPORC ,1.81
360254,51008,FUSE FIT ALL TYPE T 8A,COO02,3FUSE      ,3.81
360255,51010,FUSE FIT ALL TYPE T 10A,COO02,3FUSE      ,3.78
360257,51003,FUSE FIT ALL TYPE T 3A,COO02,3FUSE      ,3.94
360259,51006,FUSE FIT ALL TYPE T 6A,COO02,3FUSE      ,3.92
360261,51015,FUSE FIT ALL TYPE T 15A,COO02,3FUSE      ,3.83
360262,51020,FUSE FIT ALL TYPE T 20A,COO02,3FUSE      ,3.76
360265,51040,FUSE FIT ALL TYPE T 40A,COO02,3FUSE      ,4.6
360269,51100,FUSE FIT ALL TYPE T 100A,COO02,3FUSE      ,7.87
360272,AF176,"LOCKWASHER SPRING DOUBLE COIL HDG FOR 1/2"" BOLT",ALU01,3BOLTWSHR  ,0.12
360272,CMW12,LOCKWASHER DOUBLE COIL FOR 1/2 BOLT,CIT05,3BOLTWSHR  ,0
360274,177,"LOCKWASHER SPRING DOUBLE COIL HDG FOR 5/8"" BOLT",ALU01,3BOLTWSHR  ,0.24
360278,602U3060A13-1733,SOCKET METER 20A 13T W/ 10-POLE TEST SWITCH PREWIRED,EJB02,3METER     ,0
360280,U7420-RL,SOCKET METER 200A 7T OH NO HUB,MIL07,3SOCKETS   ,137.48
360283,1092,EYENUT FORGED OVAL FOR 5/8 BOLT,POW06,3BOLTWSHR  ,1.73
360284,6503,EYENUT FORGED OVAL FOR 3/4 BOLT,ELE05,3BOLTWSHR  ,2.35
360285,6510,EYENUT FORGED THIMBLE FOR 5/8 BOLT,ALU01,3BOLTWSHR  ,3.79
360286,2195,PIN POLE TOP 20IN 1-3/8IN THREAD,ARK05,3PINHDWE   ,20.93
360290,GH6,GUY ATTACHMENT 3/4IN  MTG BOLT GOAT HEAD 2 BOLT STYLE,ELE05,3BRACKET   ,4.39
360291,TS-PTS-GRTWN-13,COVER WIRE WAY FOR 360374,CIT05,3METER     ,0
